play count,attempt,loss
242000,12.01,83.06904602050781
243000,12.88,83.00750732421875
244000,14.91,91.31803894042969
245000,12.78,90.4607925415039
246000,14.09,89.96187591552734
247000,13.71,85.12574005126953
248000,12.31,81.5903549194336
249000,14.69,79.86512756347656
250000,13.9,81.9267349243164
251000,12.88,81.3144760131836
252000,13.52,84.33226776123047
253000,14.5,87.21170806884766
254000,13.2,76.68533325195312
255000,13.32,80.92256164550781
256000,11.47,76.78302001953125
257000,13.46,79.73468017578125
258000,13.11,77.05563354492188
259000,12.41,84.01143646240234
260000,12.54,89.4326400756836
261000,11.15,82.97984313964844
262000,12.15,86.05897521972656
263000,13.36,76.6831283569336
264000,13.17,81.93226623535156
265000,11.94,81.7560806274414
266000,12.97,82.57125091552734
267000,13.13,84.11602783203125
268000,12.43,83.11212158203125
269000,13.14,80.9580307006836
270000,12.78,81.72220611572266
271000,14.57,79.62215423583984
272000,12.72,73.25135803222656
273000,12.49,78.3307113647461
274000,11.56,94.50129699707031
275000,10.52,75.29719543457031
276000,11.57,86.77949523925781
277000,12.34,84.718017578125
278000,12.39,76.48977661132812
279000,12.77,95.45086669921875
280000,13.85,78.25169372558594
281000,13.95,76.76641845703125
